Interactor A ID,Interactor A Type,Interactor A Desc,Domain A,Taxon ID A,Genome ID A,Genome Name A,RefSeq Locus Tag A,gene A,Interactor B ID,Interactor B Type,Interactor B Desc,Domain B,Taxon ID B,Genome ID B,Genome Name B,RefSeq Locus Tag B,gene B,Category,Interaction Type,Detection Method,Evidence,PMID,Source DB,Source ID,Score
fig|419947.8.peg.371,Protein,"PE family protein => PE6",Bacteria,419947,419947.8,Mycobacterium tuberculosis H37Ra,MRA_0344,,fig|419947.9.peg.3138,Protein,"1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate synthase (EC 1.17.7.1)",Bacteria,419947,419947.9,Mycobacterium tuberculosis H37Ra [WGS],MtubH3_010100016311,ispG,PPI,"predicted interaction","predictive text mining","experimental","","string","",
fig|83332.12.peg.339,Protein,"hypothetical protein",Bacteria,83332,83332.12,Mycobacterium tuberculosis H37Rv,Rv0307c,,fig|83332.12.peg.176,Protein,"Acyl-CoA dehydrogenase (EC 1.3.8.1), Mycobacterial subgroup FadE2",Bacteria,83332,83332.12,Mycobacterium tuberculosis H37Rv,Rv0154c,fadE2,PPI,"genetic interaction","Tn-seq experiment","experimental","","FLUTE","",
fig|83332.12.peg.339,Protein,"hypothetical protein",Bacteria,83332,83332.12,Mycobacterium tuberculosis H37Rv,Rv0307c,,fig|83332.12.peg.2916,Protein,"Pyridoxal 5'-phosphate synthase (glutamine hydrolyzing), synthase subunit (EC 4.3.3.6)",Bacteria,83332,83332.12,Mycobacterium tuberculosis H37Rv,Rv2606c,,PPI,"genetic interaction","Tn-seq experiment","experimental","","FLUTE","",
fig|419947.9.peg.3654,Protein,"Possible hydrolase mutT1 (EC 3.-.-.-)",Bacteria,419947,419947.9,Mycobacterium tuberculosis H37Ra [WGS],MtubH3_010100018963,,fig|419947.9.peg.3810,Protein,"Mutator MutT protein (7,8-dihydro-8-oxoguanine-triphosphatase) (EC 3.6.1.-)",Bacteria,419947,419947.9,Mycobacterium tuberculosis H37Ra [WGS],MtubH3_010100019703,,PPI,"predicted interaction","predictive text mining,interologs mapping","experimental,computational","","string","",
fig|419947.8.peg.2092,Protein,"Molybdenum ABC transporter permease protein ModB",Bacteria,419947,419947.8,Mycobacterium tuberculosis H37Ra,MRA_1869,modB,fig|419947.9.peg.3111,Protein,"Peptidyl-prolyl cis-trans isomerase (EC 5.2.1.8)",Bacteria,419947,419947.9,Mycobacterium tuberculosis H37Ra [WGS],MtubH3_010100016192,,PPI,"predicted interaction","predictive text mining","experimental","","string","",
fig|419947.8.peg.1741,Protein,"Fumarate reductase iron-sulfur protein (EC 1.3.5.4)",Bacteria,419947,419947.8,Mycobacterium tuberculosis H37Ra,MRA_1565,frdB,fig|419947.8.peg.2841,Protein,"Hydroxymethylglutaryl-CoA lyase (EC 4.1.3.4)",Bacteria,419947,419947.8,Mycobacterium tuberculosis H37Ra,MRA_2524,citE,PPI,"predicted interaction","predictive text mining","experimental","","string","",
fig|419947.8.peg.1741,Protein,"Fumarate reductase iron-sulfur protein (EC 1.3.5.4)",Bacteria,419947,419947.8,Mycobacterium tuberculosis H37Ra,MRA_1565,frdB,fig|419947.9.peg.1665,Protein,"Fumarate reductase subunit C",Bacteria,419947,419947.9,Mycobacterium tuberculosis H37Ra [WGS],MtubH3_010100008770,,PPI,"predicted interaction","predictive text mining,interologs mapping","experimental,computational","","string","",
fig|83332.12.peg.4142,Protein,"N-acetylmuramoyl-L-alanine amidase (EC 3.5.1.28)",Bacteria,83332,83332.12,Mycobacterium tuberculosis H37Rv,Rv3717,,fig|83332.12.peg.2008,Protein,"Serine protease mycosin MycP5, component of Type VII secretion system ESX-5",Bacteria,83332,83332.12,Mycobacterium tuberculosis H37Rv,Rv1796,mycP5,PPI,"genetic interaction","Tn-seq experiment","experimental","","FLUTE","",
fig|83332.12.peg.4366,Protein,"FIG007808: N-acetyltransferase",Bacteria,83332,83332.12,Mycobacterium tuberculosis H37Rv,Rv3916c,,fig|83332.12.peg.3922,Protein,"PE_PGRS family protein => PE_PGRS56",Bacteria,83332,83332.12,Mycobacterium tuberculosis H37Rv,Rv3512,PE_PGRS56,PPI,"genetic interaction","Tn-seq experiment","experimental","","FLUTE","",
fig|83332.12.peg.56,Protein,"Multimodular transpeptidase-transglycosylase (EC 2.4.1.129) (EC 3.4.-.-)",Bacteria,83332,83332.12,Mycobacterium tuberculosis H37Rv,Rv0050,ponA1,fig|83332.12.peg.4257,Protein,"Transmembrane transport protein MmpL8/MmpL10/MmpL12",Bacteria,83332,83332.12,Mycobacterium tuberculosis H37Rv,Rv3823c,mmpL8,PPI,"genetic interaction","Tn-seq experiment","experimental","26438867","FLUTE","",
fig|83332.12.peg.4366,Protein,"FIG007808: N-acetyltransferase",Bacteria,83332,83332.12,Mycobacterium tuberculosis H37Rv,Rv3916c,,fig|83332.12.peg.1746,Protein,"O-antigen acetylase",Bacteria,83332,83332.12,Mycobacterium tuberculosis H37Rv,Rv1565c,,PPI,"genetic interaction","Tn-seq experiment","experimental","","FLUTE","",
fig|419947.8.peg.1431,Protein,"Lipoprotein LprC",Bacteria,419947,419947.8,Mycobacterium tuberculosis H37Ra,MRA_1283,lprC,fig|419947.9.peg.4477,Protein,"Superoxide dismutase [Cu-Zn] precursor (EC 1.15.1.1)",Bacteria,419947,419947.9,Mycobacterium tuberculosis H37Ra [WGS],MtubH3_010100023030,,PPI,"predicted interaction","predictive text mining","experimental","","string","",
fig|419947.8.peg.3891,Protein,"ESAT-6-like protein EsxT",Bacteria,419947,419947.8,Mycobacterium tuberculosis H37Ra,MRA_3485,esxT,fig|419947.8.peg.4368,Protein,"6 kDa early secretory antigenic target ESAT-6 (EsxA)",Bacteria,419947,419947.8,Mycobacterium tuberculosis H37Ra,MRA_3914,esxA,PPI,"predicted interaction","predictive text mining","experimental","","string","",
fig|83332.12.peg.339,Protein,"hypothetical protein",Bacteria,83332,83332.12,Mycobacterium tuberculosis H37Rv,Rv0307c,,fig|83332.12.peg.4247,Protein,"Acyl-CoA:1-acyl-sn-glycerol-3-phosphate acyltransferase (EC 2.3.1.51)",Bacteria,83332,83332.12,Mycobacterium tuberculosis H37Rv,Rv3814c,,PPI,"genetic interaction","Tn-seq experiment","experimental","","FLUTE","",
fig|83332.12.peg.4366,Protein,"FIG007808: N-acetyltransferase",Bacteria,83332,83332.12,Mycobacterium tuberculosis H37Rv,Rv3916c,,fig|83332.12.peg.1786,Protein,"Histidinol-phosphatase [alternative form] (EC 3.1.3.15)",Bacteria,83332,83332.12,Mycobacterium tuberculosis H37Rv,Rv1604,impA,PPI,"genetic interaction","Tn-seq experiment","experimental","","FLUTE","",
fig|83332.12.peg.11,Protein,"FIG024317: hypothetical protein",Bacteria,83332,83332.12,Mycobacterium tuberculosis H37Rv,Rv0008c,,fig|83332.12.peg.15,Protein,"FIG018426: putative septation inhibitor protein",Bacteria,83332,83332.12,Mycobacterium tuberculosis H37Rv,Rv0011c,,PPI,"physical association","pull down,two hybrid","experimental","23002219,18506","mpidb","intact:EBI-6420173,mpidb:MPIDB-INT-2110,imex:IM-18506-8,intact:EBI-6420155,mpidb:MPIDB-INT-2112,imex:IM-18506-6",
fig|419947.8.peg.729,Protein,"ABC transporter ATP-binding protein SCO2422",Bacteria,419947,419947.8,Mycobacterium tuberculosis H37Ra,MRA_0666,mkl,fig|419947.9.peg.1023,Protein,"LSU ribosomal protein L7/L12 (P1/P2)",Bacteria,419947,419947.9,Mycobacterium tuberculosis H37Ra [WGS],MtubH3_010100005482,rplL,PPI,"predicted interaction","predictive text mining","experimental","","string","",
fig|419947.8.peg.1743,Protein,"Fumarate reductase subunit D",Bacteria,419947,419947.8,Mycobacterium tuberculosis H37Ra,MRA_1567,frdD,fig|419947.9.peg.1665,Protein,"Fumarate reductase subunit C",Bacteria,419947,419947.9,Mycobacterium tuberculosis H37Ra [WGS],MtubH3_010100008770,,PPI,"predicted interaction","predictive text mining,interologs mapping","experimental,computational","","string","",
fig|83332.12.peg.4366,Protein,"FIG007808: N-acetyltransferase",Bacteria,83332,83332.12,Mycobacterium tuberculosis H37Rv,Rv3916c,,fig|83332.12.peg.4103,Protein,"Multimodular transpeptidase-transglycosylase (EC 2.4.1.129) (EC 3.4.-.-) => PonA2",Bacteria,83332,83332.12,Mycobacterium tuberculosis H37Rv,Rv3682,ponA2,PPI,"genetic interaction","Tn-seq experiment","experimental","","FLUTE","",
fig|83332.12.peg.339,Protein,"hypothetical protein",Bacteria,83332,83332.12,Mycobacterium tuberculosis H37Rv,Rv0307c,,fig|83332.12.peg.1248,Protein,"PE family protein",Bacteria,83332,83332.12,Mycobacterium tuberculosis H37Rv,Rv1116A,,PPI,"genetic interaction","Tn-seq experiment","experimental","","FLUTE","",
fig|83332.12.peg.1059,Protein,"Phage peptidoglycan binding endopeptidase",Bacteria,83332,83332.12,Mycobacterium tuberculosis H37Rv,Rv0950c,,fig|83332.12.peg.3269,Protein,"Phenolpthiocerol synthesis type-I polyketide synthase PpsC",Bacteria,83332,83332.12,Mycobacterium tuberculosis H37Rv,Rv2933,ppsC,PPI,"genetic interaction","Tn-seq experiment","experimental","","FLUTE","",
fig|83332.12.peg.339,Protein,"hypothetical protein",Bacteria,83332,83332.12,Mycobacterium tuberculosis H37Rv,Rv0307c,,fig|83332.12.peg.1480,Protein,"Endonuclease NucS",Bacteria,83332,83332.12,Mycobacterium tuberculosis H37Rv,Rv1321,,PPI,"genetic interaction","Tn-seq experiment","experimental","","FLUTE","",
fig|83332.12.peg.2504,Protein,"3-oxoacyl-[acyl-carrier-protein] synthase, KASII (EC 2.3.1.179)",Bacteria,83332,83332.12,Mycobacterium tuberculosis H37Rv,Rv2246,kasB,fig|83332.12.peg.717,Protein,"Methoxy mycolic acid synthase MmaA4",Bacteria,83332,83332.12,Mycobacterium tuberculosis H37Rv,Rv0642c,mmaA4,PPI,"association","experimental interaction detection","experimental","16213523","mtbbase","",
fig|83332.12.peg.339,Protein,"hypothetical protein",Bacteria,83332,83332.12,Mycobacterium tuberculosis H37Rv,Rv0307c,,fig|83332.12.peg.955,Protein,"hypothetical protein",Bacteria,83332,83332.12,Mycobacterium tuberculosis H37Rv,Rv0854,,PPI,"genetic interaction","Tn-seq experiment","experimental","","FLUTE","",
fig|83332.12.peg.4366,Protein,"FIG007808: N-acetyltransferase",Bacteria,83332,83332.12,Mycobacterium tuberculosis H37Rv,Rv3916c,,fig|83332.12.peg.1444,Protein,"hypothetical protein",Bacteria,83332,83332.12,Mycobacterium tuberculosis H37Rv,Rv1290c,,PPI,"genetic interaction","Tn-seq experiment","experimental","","FLUTE","",
fig|83332.12.peg.4142,Protein,"N-acetylmuramoyl-L-alanine amidase (EC 3.5.1.28)",Bacteria,83332,83332.12,Mycobacterium tuberculosis H37Rv,Rv3717,,fig|83332.12.peg.278,Protein,"Succinate dehydrogenase flavoprotein subunit (EC 1.3.5.1)",Bacteria,83332,83332.12,Mycobacterium tuberculosis H37Rv,Rv0248c,sdhA,PPI,"genetic interaction","Tn-seq experiment","experimental","","FLUTE","",
fig|83332.12.peg.4366,Protein,"FIG007808: N-acetyltransferase",Bacteria,83332,83332.12,Mycobacterium tuberculosis H37Rv,Rv3916c,,fig|83332.12.peg.3948,Protein,"4-hydroxy-2-oxovalerate aldolase (EC 4.1.3.39)",Bacteria,83332,83332.12,Mycobacterium tuberculosis H37Rv,Rv3534c,,PPI,"genetic interaction","Tn-seq experiment","experimental","","FLUTE","",
fig|419947.8.peg.3735,Protein,"Putative uncharacterized protein BCG_3369",Bacteria,419947,419947.8,Mycobacterium tuberculosis H37Ra,MRA_3345,,fig|419947.9.peg.4442,Protein,"Dihydrolipoamide dehydrogenase of pyruvate dehydrogenase complex (EC 1.8.1.4)",Bacteria,419947,419947.9,Mycobacterium tuberculosis H37Ra [WGS],MtubH3_010100022855,,PPI,"predicted interaction","predictive text mining","experimental","","string","",
fig|83332.12.peg.4366,Protein,"FIG007808: N-acetyltransferase",Bacteria,83332,83332.12,Mycobacterium tuberculosis H37Rv,Rv3916c,,fig|83332.12.peg.4170,Protein,"Monooxygenase, flavin-binding family",Bacteria,83332,83332.12,Mycobacterium tuberculosis H37Rv,Rv3741c,,PPI,"genetic interaction","Tn-seq experiment","experimental","","FLUTE","",
fig|83332.12.peg.4142,Protein,"N-acetylmuramoyl-L-alanine amidase (EC 3.5.1.28)",Bacteria,83332,83332.12,Mycobacterium tuberculosis H37Rv,Rv3717,,fig|83332.12.peg.2891,Protein,"Probable peptidyl-prolyl cis-trans isomerase B (EC 5.2.1.8) (PPIase B) (Rotamase B)",Bacteria,83332,83332.12,Mycobacterium tuberculosis H37Rv,Rv2582,ppiB,PPI,"genetic interaction","Tn-seq experiment","experimental","","FLUTE","",
fig|419947.8.peg.1124,Protein,"Putative deoxyribonuclease YcfH",Bacteria,419947,419947.8,Mycobacterium tuberculosis H37Ra,MRA_1017,tatD,fig|419947.9.peg.506,Protein,"Twin-arginine translocation protein TatC",Bacteria,419947,419947.9,Mycobacterium tuberculosis H37Ra [WGS],MtubH3_010100002858,,PPI,"predicted interaction","predictive text mining,interologs mapping","experimental,computational","","string","",
fig|83332.12.peg.339,Protein,"hypothetical protein",Bacteria,83332,83332.12,Mycobacterium tuberculosis H37Rv,Rv0307c,,fig|83332.12.peg.1543,Protein,"CONSERVED 13E12 REPEAT FAMILY PROTEIN",Bacteria,83332,83332.12,Mycobacterium tuberculosis H37Rv,Rv1378c,,PPI,"genetic interaction","Tn-seq experiment","experimental","","FLUTE","",
fig|419947.8.peg.1036,Protein,"Phosphate ABC transporter, periplasmic phosphate-binding protein PstS (TC 3.A.1.7.1)",Bacteria,419947,419947.8,Mycobacterium tuberculosis H37Ra,MRA_0936,pstS3,fig|419947.8.peg.1431,Protein,"Lipoprotein LprC",Bacteria,419947,419947.8,Mycobacterium tuberculosis H37Ra,MRA_1283,lprC,PPI,"predicted interaction","predictive text mining","experimental","","string","",
fig|83332.12.peg.339,Protein,"hypothetical protein",Bacteria,83332,83332.12,Mycobacterium tuberculosis H37Rv,Rv0307c,,fig|83332.12.peg.3753,Protein,"NADH:flavin oxidoreductases, Old Yellow Enzyme family",Bacteria,83332,83332.12,Mycobacterium tuberculosis H37Rv,Rv3359,,PPI,"genetic interaction","Tn-seq experiment","experimental","","FLUTE","",
fig|419947.8.peg.2958,Protein,"Phosphatidylinositol alpha-mannosyltransferase (EC 2.4.1.57)",Bacteria,419947,419947.8,Mycobacterium tuberculosis H37Ra,MRA_2638,pimA,fig|419947.9.peg.2942,Protein,"Glycosyl transferase, family 2",Bacteria,419947,419947.9,Mycobacterium tuberculosis H37Ra [WGS],MtubH3_010100015300,,PPI,"predicted interaction","predictive text mining","experimental","","string","",
fig|83332.12.peg.339,Protein,"hypothetical protein",Bacteria,83332,83332.12,Mycobacterium tuberculosis H37Rv,Rv0307c,,fig|83332.12.peg.3412,Protein,"Transcriptional regulator, AcrR family",Bacteria,83332,83332.12,Mycobacterium tuberculosis H37Rv,Rv3058c,,PPI,"genetic interaction","Tn-seq experiment","experimental","","FLUTE","",
fig|419947.9.peg.971,Protein,"FtsK/SpoIIIE family protein EccCb1, component of Type VII secretion system ESX-1",Bacteria,419947,419947.9,Mycobacterium tuberculosis H37Ra [WGS],MtubH3_010100005227,,fig|419947.9.peg.975,Protein,"AAA+ family protein ATPase EccA1, component of Type VII secretion system ESX-1",Bacteria,419947,419947.9,Mycobacterium tuberculosis H37Ra [WGS],MtubH3_010100005242,,PPI,"predicted interaction","predictive text mining,gene neighbourhood","experimental,computational","","string","",
fig|419947.8.peg.759,Protein,"SSU ribosomal protein S12p (S23e)",Bacteria,419947,419947.8,Mycobacterium tuberculosis H37Ra,MRA_0691,rpsL,fig|419947.8.peg.4273,Protein,"Integral membrane indolylacetylinositol arabinosyltransferase EmbB (EC 2.4.2.-)",Bacteria,419947,419947.8,Mycobacterium tuberculosis H37Ra,MRA_3835,embB,PPI,"predicted interaction","predictive text mining","experimental","","string","",
fig|83332.12.peg.339,Protein,"hypothetical protein",Bacteria,83332,83332.12,Mycobacterium tuberculosis H37Rv,Rv0307c,,fig|83332.12.peg.1642,Protein,"Thioredoxin",Bacteria,83332,83332.12,Mycobacterium tuberculosis H37Rv,Rv1471,trxB1,PPI,"genetic interaction","Tn-seq experiment","experimental","","FLUTE","",
fig|419947.9.peg.988,Protein,"ATP phosphoribosyltransferase (EC 2.4.2.17) => HisGl",Bacteria,419947,419947.9,Mycobacterium tuberculosis H37Ra [WGS],MtubH3_010100005307,hisG,fig|419947.9.peg.4352,Protein,"Histidinol-phosphate aminotransferase (EC 2.6.1.9)",Bacteria,419947,419947.9,Mycobacterium tuberculosis H37Ra [WGS],MtubH3_010100022408,,PPI,"predicted interaction","predictive text mining,interologs mapping,phylogenetic profile","experimental,computational","","string","",
fig|83332.12.peg.4366,Protein,"FIG007808: N-acetyltransferase",Bacteria,83332,83332.12,Mycobacterium tuberculosis H37Rv,Rv3916c,,fig|83332.12.peg.3300,Protein,"UDP-glucoronosyl and UDP-glucosyltransferases family protein",Bacteria,83332,83332.12,Mycobacterium tuberculosis H37Rv,Rv2958c,,PPI,"genetic interaction","Tn-seq experiment","experimental","","FLUTE","",
fig|83332.12.peg.339,Protein,"hypothetical protein",Bacteria,83332,83332.12,Mycobacterium tuberculosis H37Rv,Rv0307c,,fig|83332.12.peg.1704,Protein,"POSSIBLE RHAMNOSYL TRANSFERASE WBBL2",Bacteria,83332,83332.12,Mycobacterium tuberculosis H37Rv,Rv1525,wbbL2,PPI,"genetic interaction","Tn-seq experiment","experimental","","FLUTE","",
fig|419947.8.peg.2504,Protein,"Glutamate-ammonia-ligase adenylyltransferase (EC 2.7.7.42)",Bacteria,419947,419947.8,Mycobacterium tuberculosis H37Ra,MRA_2238,glnE,fig|419947.9.peg.3578,Protein,"Bifunctional beta-1,5/1,6-galactofuranosyltransferase GlfT2 in cell wall galactan polymerization (EC 2.4.1.288)",Bacteria,419947,419947.9,Mycobacterium tuberculosis H37Ra [WGS],MtubH3_010100018583,,PPI,"predicted interaction","predictive text mining","experimental","","string","",
fig|83332.12.peg.4012,Protein,"Phage endolysin",Bacteria,83332,83332.12,Mycobacterium tuberculosis H37Rv,Rv3594,,fig|83332.12.peg.3271,Protein,"Phenolpthiocerol synthesis type-I polyketide synthase PpsE",Bacteria,83332,83332.12,Mycobacterium tuberculosis H37Rv,Rv2935,ppsE,PPI,"genetic interaction","Tn-seq experiment","experimental","","FLUTE","",
fig|419947.8.peg.1937,Protein,"hypothetical protein",Bacteria,419947,419947.8,Mycobacterium tuberculosis H37Ra,MRA_1744,,fig|419947.9.peg.791,Protein,"Universal stress protein family",Bacteria,419947,419947.9,Mycobacterium tuberculosis H37Ra [WGS],MtubH3_010100004292,,PPI,"predicted interaction","predictive text mining","experimental","","string","",
fig|83332.12.peg.4366,Protein,"FIG007808: N-acetyltransferase",Bacteria,83332,83332.12,Mycobacterium tuberculosis H37Rv,Rv3916c,,fig|83332.12.peg.2083,Protein,"Acetyl-CoA acetyltransferase",Bacteria,83332,83332.12,Mycobacterium tuberculosis H37Rv,Rv1867,,PPI,"genetic interaction","Tn-seq experiment","experimental","","FLUTE","",
fig|83332.12.peg.3674,Protein,"Serine-protein kinase RsbW (EC 2.7.11.1)",Bacteria,83332,83332.12,Mycobacterium tuberculosis H37Rv,Rv3287c,rsbW,fig|83332.12.peg.4109,Protein,"hypothetical protein",Bacteria,83332,83332.12,Mycobacterium tuberculosis H37Rv,Rv3687c,rsfB,PPI,"association","experimental interaction detection","experimental","16263329","mtbbase","",
fig|419947.8.peg.4004,Protein,"Probable acetyl-CoA acetyltransferase FadA5 (EC 2.3.1.9)",Bacteria,419947,419947.8,Mycobacterium tuberculosis H37Ra,MRA_3585,fadA5,fig|419947.9.peg.1128,Protein,"3-ketoacyl-CoA thiolase (EC 2.3.1.16) @ Acetyl-CoA acetyltransferase (EC 2.3.1.9)",Bacteria,419947,419947.9,Mycobacterium tuberculosis H37Ra [WGS],MtubH3_010100006007,,PPI,"predicted interaction","inference,predictive text mining,phylogenetic profile","computational,experimental","","biocyc,kegg pathways,string","",
fig|83332.12.peg.1746,Protein,"O-antigen acetylase",Bacteria,83332,83332.12,Mycobacterium tuberculosis H37Rv,Rv1565c,,fig|83332.12.peg.1774,Protein,"Lipase 1 (EC 3.1.1.3)",Bacteria,83332,83332.12,Mycobacterium tuberculosis H37Rv,Rv1592c,,PPI,"genetic interaction","Tn-seq experiment","experimental","28334803","FLUTE","",
fig|83332.12.peg.4366,Protein,"FIG007808: N-acetyltransferase",Bacteria,83332,83332.12,Mycobacterium tuberculosis H37Rv,Rv3916c,,fig|83332.12.peg.3019,Protein,"hypothetical protein",Bacteria,83332,83332.12,Mycobacterium tuberculosis H37Rv,Rv2708c,,PPI,"genetic interaction","Tn-seq experiment","experimental","","FLUTE","",
fig|83332.12.peg.4366,Protein,"FIG007808: N-acetyltransferase",Bacteria,83332,83332.12,Mycobacterium tuberculosis H37Rv,Rv3916c,,fig|83332.12.peg.280,Protein,"hypothetical protein Rv0250c",Bacteria,83332,83332.12,Mycobacterium tuberculosis H37Rv,Rv0250c,,PPI,"genetic interaction","Tn-seq experiment","experimental","","FLUTE","",
fig|419947.9.peg.272,Protein,"Cell division protein MraZ",Bacteria,419947,419947.9,Mycobacterium tuberculosis H37Ra [WGS],MtubH3_010100001625,,fig|419947.9.peg.273,Protein,"16S rRNA (cytosine(1402)-N(4))-methyltransferase EC 2.1.1.199)",Bacteria,419947,419947.9,Mycobacterium tuberculosis H37Ra [WGS],MtubH3_010100001630,mraW,PPI,"predicted interaction","predictive text mining,interologs mapping,gene neighbourhood","experimental,computational","","string","",
fig|83332.12.peg.1746,Protein,"O-antigen acetylase",Bacteria,83332,83332.12,Mycobacterium tuberculosis H37Rv,Rv1565c,,fig|83332.12.peg.1827,Protein,"L-O-lysylphosphatidylglycerol synthase (EC 2.3.2.3) / Lysyl-tRNA synthetase (class II) (EC 6.1.1.6), L-O-lysylphosphatidylglycerol synthetase specific",Bacteria,83332,83332.12,Mycobacterium tuberculosis H37Rv,Rv1640c,lysS,PPI,"genetic interaction","Tn-seq experiment","experimental","28334803","FLUTE","",
fig|419947.8.peg.4087,Protein,"D-alanyl-D-alanine carboxypeptidase (EC 3.4.16.4)",Bacteria,419947,419947.8,Mycobacterium tuberculosis H37Ra,MRA_3663,,fig|419947.9.peg.2742,Protein,"Beta-lactamase class C and other penicillin binding proteins",Bacteria,419947,419947.9,Mycobacterium tuberculosis H37Ra [WGS],MtubH3_010100014243,,PPI,"predicted interaction","predictive text mining,interologs mapping","experimental,computational","","string","",
fig|83332.12.peg.56,Protein,"Multimodular transpeptidase-transglycosylase (EC 2.4.1.129) (EC 3.4.-.-)",Bacteria,83332,83332.12,Mycobacterium tuberculosis H37Rv,Rv0050,ponA1,fig|83332.12.peg.3501,Protein,"PPE family protein, SVP subgroup => PPE51",Bacteria,83332,83332.12,Mycobacterium tuberculosis H37Rv,Rv3136,PPE51,PPI,"genetic interaction","Tn-seq experiment","experimental","26438867","FLUTE","",
