Genome,Genome ID,Accession,BRC ID,RefSeq Locus Tag,Alt Locus Tag,Feature ID,Annotation,Feature Type,Start,End,Length,Strand,FIGfam ID,PATRIC genus-specific families (PLfams),PATRIC cross-genus families (PGfams),Protein ID,AA Length,Gene Symbol,Product,GO
"Mycobacterium bovis AF2122/97","233413.5","NC_002945","fig|233413.5.peg.1011","Mb0930","VBIMycBov88188_1011","PATRIC.233413.5.NC_002945.CDS.1009409.1010527.fwd","PATRIC","CDS",1009409,1010527,1119,"+","FIG01371060","PLF_1763_00000156","PGF_05806155","NP_854587.1",372,,"Outer membrane protein romA",
"Mycobacterium bovis AF2122/97","233413.5","NC_002945","fig|233413.5.peg.1012","Mb0931","VBIMycBov88188_1012","PATRIC.233413.5.NC_002945.CDS.1010647.1012200.fwd","PATRIC","CDS",1010647,1012200,1554,"+","FIG00000747","PLF_1763_00001846","PGF_01785064","NP_854588.1",517,,"Beta-lactamase class C-like and penicillin binding proteins (PBPs) superfamily / DUF3471 domain",
"Mycobacterium bovis AF2122/97","233413.5","NC_002945","fig|233413.5.peg.1013","Mb0932","VBIMycBov88188_1013","PATRIC.233413.5.NC_002945.CDS.1012197.1014590.fwd","PATRIC","CDS",1012197,1014590,2394,"+","FIG01322067","PLF_1763_00001274","PGF_02952136","NP_854589.1",797,"ctpE","Cation-transporting ATPase, E1-E2 family",
"Mycobacterium bovis AF2122/97","233413.5","NC_002945","fig|233413.5.peg.1014",,"VBIMycBov88188_1014","PATRIC.233413.5.NC_002945.CDS.1014863.1015021.fwd","PATRIC","CDS",1014863,1015021,159,"+","FIG00820575","PLF_1763_00003435","PGF_02412494",,52,,"hypothetical protein",
"Mycobacterium bovis AF2122/97","233413.5","NC_002945","fig|233413.5.peg.1015","Mb0933","VBIMycBov88188_1015","PATRIC.233413.5.NC_002945.CDS.1015147.1015326.fwd","PATRIC","CDS",1015147,1015326,180,"+","FIG00821392","PLF_1763_00175027","PGF_02525069","NP_854590.1",59,,"Uncharacterized protein MSMEG_5635",
"Mycobacterium bovis AF2122/97","233413.5","NC_002945","fig|233413.5.peg.1016","Mb0934","VBIMycBov88188_1016","PATRIC.233413.5.NC_002945.CDS.1015332.1015766.fwd","PATRIC","CDS",1015332,1015766,435,"+","FIG00820675","PLF_1763_00011206","PGF_08225224","NP_854591.1",144,,"hypothetical protein",
"Mycobacterium bovis AF2122/97","233413.5","NC_002945","fig|233413.5.peg.1017","Mb0935","VBIMycBov88188_1017","PATRIC.233413.5.NC_002945.CDS.1015864.1016637.fwd","PATRIC","CDS",1015864,1016637,774,"+","FIG01326450","PLF_1763_00150744","PGF_08073198","NP_854592.1",257,,"Putative hydroxylase",
"Mycobacterium bovis AF2122/97","233413.5","NC_002945","fig|233413.5.peg.1018","Mb0936","VBIMycBov88188_1018","PATRIC.233413.5.NC_002945.CDS.1016732.1017151.fwd","PATRIC","CDS",1016732,1017151,420,"+","FIG00662132","PLF_1763_00002354","PGF_02937204","NP_854593.1",139,,"putative membrane protein",
"Mycobacterium bovis AF2122/97","233413.5","NC_002945","fig|233413.5.peg.1019",,"VBIMycBov88188_1019","PATRIC.233413.5.NC_002945.CDS.1017286.1017516.rev","PATRIC","CDS",1017286,1017516,231,"-","FIG01388643","PLF_1763_00003405","PGF_02412477",,76,,"hypothetical protein",
"Mycobacterium bovis AF2122/97","233413.5","NC_002945","fig|233413.5.peg.1020","Mb0937c","VBIMycBov88188_1020","PATRIC.233413.5.NC_002945.CDS.1017683.1019191.rev","PATRIC","CDS",1017683,1019191,1509,"-","FIG01358959","PLF_1763_00002206","PGF_00016956","NP_854594.1",502,,"Lignostilbene-alpha,beta-dioxygenase and related enzymes",
"Mycobacterium bovis AF2122/97","233413.5","NC_002945","fig|233413.5.peg.1021","Mb0938c","VBIMycBov88188_1021","PATRIC.233413.5.NC_002945.CDS.1019193.1020431.rev","PATRIC","CDS",1019193,1020431,1239,"-","FIG01279374","PLF_1763_00001411","PGF_00419687","NP_854595.1",412,,"3-ketoacyl-CoA thiolase (EC 2.3.1.16)","GO:0003988|acetyl-CoA C-acyltransferase activity"
"Mycobacterium bovis AF2122/97","233413.5","NC_002945","fig|233413.5.peg.1022","Mb0939c","VBIMycBov88188_1022","PATRIC.233413.5.NC_002945.CDS.1020524.1021795.rev","PATRIC","CDS",1020524,1021795,1272,"-","FIG00013075","PLF_1763_00002606","PGF_03080563","NP_854596.1",423,"PPE14","PPE family protein, SVP subgroup => PPE14",
"Mycobacterium bovis AF2122/97","233413.5","NC_002945","fig|233413.5.peg.1023","Mb0940c","VBIMycBov88188_1023","PATRIC.233413.5.NC_002945.CDS.1021810.1022109.rev","PATRIC","CDS",1021810,1022109,300,"-","FIG01311212","PLF_1763_00003533","PGF_03106143","NP_854597.1",99,"PE7","PE family protein => PE7",
"Mycobacterium bovis AF2122/97","233413.5","NC_002945","fig|233413.5.peg.1024","Mb0941","VBIMycBov88188_1024","PATRIC.233413.5.NC_002945.CDS.1022553.1024334.fwd","PATRIC","CDS",1022553,1024334,1782,"+","FIG00001690","PLF_1763_00002759","PGF_00979882","NP_854598.1",593,"betP","High-affinity choline uptake protein BetT",
"Mycobacterium bovis AF2122/97","233413.5","NC_002945","fig|233413.5.peg.1025",,"VBIMycBov88188_1025","PATRIC.233413.5.NC_002945.CDS.1024331.1024588.fwd","PATRIC","CDS",1024331,1024588,258,"+","FIG00821312","PLF_1763_00003792","PGF_02412782",,85,,"hypothetical protein",
"Mycobacterium bovis AF2122/97","233413.5","NC_002945","fig|233413.5.peg.1026","Mb0942","VBIMycBov88188_1026","PATRIC.233413.5.NC_002945.CDS.1024866.1025153.fwd","PATRIC","CDS",1024866,1025153,288,"+","FIG00021257","PLF_1763_00003102","PGF_02411065","NP_854599.1",95,,"FIG032766: hypothetical protein",
"Mycobacterium bovis AF2122/97","233413.5","NC_002945","fig|233413.5.peg.1027","Mb0943","VBIMycBov88188_1027","PATRIC.233413.5.NC_002945.CDS.1025150.1025650.fwd","PATRIC","CDS",1025150,1025650,501,"+","FIG01303971","PLF_1763_00003042","PGF_09675703","NP_854600.1",166,,"FIG001353: Acetyltransferase",
"Mycobacterium bovis AF2122/97","233413.5","NC_002945","fig|233413.5.peg.1028",,"VBIMycBov88188_1028","PATRIC.233413.5.NC_002945.CDS.1025636.1025782.rev","PATRIC","CDS",1025636,1025782,147,"-","FIG00820367","PLF_1763_00004157","PGF_02414573",,48,,"hypothetical protein",
"Mycobacterium bovis AF2122/97","233413.5","NC_002945","fig|233413.5.peg.1029","Mb0944c","VBIMycBov88188_1029","PATRIC.233413.5.NC_002945.CDS.1025963.1027267.rev","PATRIC","CDS",1025963,1027267,1305,"-","FIG01354948","PLF_1763_00002965","PGF_09978608","NP_854601.1",434,,"Transposase",
"Mycobacterium bovis AF2122/97","233413.5","NC_002945","fig|233413.5.peg.1030","Mb0945","VBIMycBov88188_1030","PATRIC.233413.5.NC_002945.CDS.1027603.1028151.fwd","PATRIC","CDS",1027603,1028151,549,"+","FIG01329993","PLF_1763_00002626","PGF_01803500","NP_854602.1",182,,"Resolvase",
"Mycobacterium bovis AF2122/97","233413.5","NC_002945","fig|233413.5.peg.1031","Mb0946","VBIMycBov88188_1031","PATRIC.233413.5.NC_002945.CDS.1028163.1029803.fwd","PATRIC","CDS",1028163,1029803,1641,"+","FIG01314079","PLF_1763_00003010","PGF_08225224","NP_854603.1",546,,"hypothetical protein",
"Mycobacterium bovis AF2122/97","233413.5","NC_002945","fig|233413.5.peg.108","Mb0096c","VBIMycBov88188_0108","PATRIC.233413.5.NC_002945.CDS.102850.103698.rev","PATRIC","CDS",102850,103698,849,"-","FIG01121868","PLF_1763_00010710","PGF_00649240","NP_853764.1",282,,"Integral membrane protein",
"Mycobacterium bovis AF2122/97","233413.5","NC_002945","fig|233413.5.peg.1032","Mb0947c","VBIMycBov88188_1032","PATRIC.233413.5.NC_002945.CDS.1029979.1031043.rev","PATRIC","CDS",1029979,1031043,1065,"-","FIG00823129","PLF_1763_00290311","PGF_08225224","NP_854604.1",354,,"hypothetical protein",
"Mycobacterium bovis AF2122/97","233413.5","NC_002945","fig|233413.5.peg.1033","Mb0948c","VBIMycBov88188_1033","PATRIC.233413.5.NC_002945.CDS.1031044.1032177.rev","PATRIC","CDS",1031044,1032177,1134,"-","FIG00554286","PLF_1763_00000777","PGF_00905234","NP_854605.1",377,"mntH","Manganese transport protein MntH","GO:0005215|transporter activity;GO:0006810|transport;GO:0016020|membrane"
"Mycobacterium bovis AF2122/97","233413.5","NC_002945","fig|233413.5.peg.1034","Mb0949c","VBIMycBov88188_1034","PATRIC.233413.5.NC_002945.CDS.1033175.1034251.rev","PATRIC","CDS",1033175,1034251,1077,"-","FIG00820001","PLF_1763_00000707","PGF_04150638","NP_854606.1",358,,"Oxidoreductase",
"Mycobacterium bovis AF2122/97","233413.5","NC_002945","fig|233413.5.peg.1035","Mb0950c","VBIMycBov88188_1035","PATRIC.233413.5.NC_002945.CDS.1034305.1035096.rev","PATRIC","CDS",1034305,1035096,792,"-","FIG01308941","PLF_1763_00001132","PGF_10532194","NP_854607.1",263,,"Oxidoreductase, short-chain dehydrogenase/reductase family",
"Mycobacterium bovis AF2122/97","233413.5","NC_002945","fig|233413.5.peg.1036","Mb0951","VBIMycBov88188_1036","PATRIC.233413.5.NC_002945.CDS.1035452.1036480.fwd","PATRIC","CDS",1035452,1036480,1029,"+","FIG00010508","PLF_1763_00000518","PGF_07668761","NP_854608.1",342,"pstS3","Phosphate ABC transporter, substrate-binding protein PstS (TC 3.A.1.7.1)",
"Mycobacterium bovis AF2122/97","233413.5","NC_002945","fig|233413.5.peg.1037","Mb0952","VBIMycBov88188_1037","PATRIC.233413.5.NC_002945.CDS.1036493.1037467.fwd","PATRIC","CDS",1036493,1037467,975,"+","FIG00018561","PLF_1763_00001708","PGF_02405545","NP_854609.1",324,"pstC2","Phosphate ABC transporter, permease protein PstC (TC 3.A.1.7.1)",
"Mycobacterium bovis AF2122/97","233413.5","NC_002945","fig|233413.5.peg.109","Mb0097c","VBIMycBov88188_0109","PATRIC.233413.5.NC_002945.CDS.103745.104698.rev","PATRIC","CDS",103745,104698,954,"-","FIG00820827","PLF_1763_00042741","PGF_05503590","NP_853765.1",317,,"13E12 repeat family protein",
"Mycobacterium bovis AF2122/97","233413.5","NC_002945","fig|233413.5.peg.1038","Mb0953","VBIMycBov88188_1038","PATRIC.233413.5.NC_002945.CDS.1037464.1038378.fwd","PATRIC","CDS",1037464,1038378,915,"+","FIG00083946","PLF_1763_00001754","PGF_01072302","NP_854610.1",304,"pstA1","Phosphate ABC transporter, permease protein PstA (TC 3.A.1.7.1)",
"Mycobacterium bovis AF2122/97","233413.5","NC_002945","fig|233413.5.peg.1039","Mb0954c","VBIMycBov88188_1039","PATRIC.233413.5.NC_002945.CDS.1038385.1039272.rev","PATRIC","CDS",1038385,1039272,888,"-","FIG01395884","PLF_1763_00000122","PGF_00051509","NP_854611.1",295,"pknDb","Serine/threonine-protein kinase PknD (EC 2.7.11.1)",
"Mycobacterium bovis AF2122/97","233413.5","NC_002945","fig|233413.5.peg.1040","Mb0955c","VBIMycBov88188_1040","PATRIC.233413.5.NC_002945.CDS.1039505.1040380.rev","PATRIC","CDS",1039505,1040380,876,"-","FIG00824811","PLF_1763_00000122","PGF_00051509","NP_854612.1",291,"pknDa","Serine/threonine-protein kinase PknD (EC 2.7.11.1)",
"Mycobacterium bovis AF2122/97","233413.5","NC_002945","fig|233413.5.peg.1041","Mb0956c","VBIMycBov88188_1041","PATRIC.233413.5.NC_002945.CDS.1040402.1041514.rev","PATRIC","CDS",1040402,1041514,1113,"-","FIG00010508","PLF_1763_00002126","PGF_07668761","NP_854613.1",370,"pstS2","Phosphate ABC transporter, substrate-binding protein PstS (TC 3.A.1.7.1)",
"Mycobacterium bovis AF2122/97","233413.5","NC_002945","fig|233413.5.peg.1042","Mb0957","VBIMycBov88188_1042","PATRIC.233413.5.NC_002945.CDS.1041730.1041945.fwd","PATRIC","CDS",1041730,1041945,216,"+","FIG00011114","PLF_1763_00000162","PGF_06213055","NP_854614.1",71,"pstBa","Phosphate ABC transporter, ATP-binding protein PstB (TC 3.A.1.7.1)",
"Mycobacterium bovis AF2122/97","233413.5","NC_002945","fig|233413.5.peg.1043","Mb0958","VBIMycBov88188_1043","PATRIC.233413.5.NC_002945.CDS.1041920.1042561.fwd","PATRIC","CDS",1041920,1042561,642,"+","FIG00011114","PLF_1763_00000162","PGF_06213055","NP_854615.1",213,"pstBb","Phosphate ABC transporter, ATP-binding protein PstB (TC 3.A.1.7.1)",
"Mycobacterium bovis AF2122/97","233413.5","NC_002945","fig|233413.5.peg.1044","Mb0959","VBIMycBov88188_1044","PATRIC.233413.5.NC_002945.CDS.1042582.1043706.fwd","PATRIC","CDS",1042582,1043706,1125,"+","FIG00010508","PLF_1763_00001734","PGF_07668761","NP_854616.1",374,"pstS1","Phosphate ABC transporter, substrate-binding protein PstS (TC 3.A.1.7.1)",
"Mycobacterium bovis AF2122/97","233413.5","NC_002945","fig|233413.5.peg.1045","Mb0960","VBIMycBov88188_1045","PATRIC.233413.5.NC_002945.CDS.1043766.1044782.fwd","PATRIC","CDS",1043766,1044782,1017,"+","FIG00018561","PLF_1763_00002637","PGF_02405545","NP_854617.1",338,"pstC1","Phosphate ABC transporter, permease protein PstC (TC 3.A.1.7.1)",
"Mycobacterium bovis AF2122/97","233413.5","NC_002945","fig|233413.5.peg.1046","Mb0961","VBIMycBov88188_1046","PATRIC.233413.5.NC_002945.CDS.1044910.1045689.fwd","PATRIC","CDS",1044910,1045689,780,"+","FIG00083946","PLF_1763_00002078","PGF_01072302","NP_854618.1",259,"pstA2","Phosphate ABC transporter, permease protein PstA (TC 3.A.1.7.1)",
"Mycobacterium bovis AF2122/97","233413.5","NC_002945","fig|233413.5.peg.1047","Mb0962c","VBIMycBov88188_1047","PATRIC.233413.5.NC_002945.CDS.1045666.1046541.rev","PATRIC","CDS",1045666,1046541,876,"-","FIG00001754","PLF_1763_00001062","PGF_03152833","NP_854619.1",291,,"Ku domain protein",
"Mycobacterium bovis AF2122/97","233413.5","NC_002945","fig|233413.5.peg.1048","Mb0963","VBIMycBov88188_1048","PATRIC.233413.5.NC_002945.CDS.1046603.1048882.fwd","PATRIC","CDS",1046603,1048882,2280,"+","FIG00002268","PLF_1763_00000794","PGF_00017227","NP_854620.1",759,,"ATP-dependent DNA ligase (EC 6.5.1.1) clustered with Ku protein, LigD",
"Mycobacterium bovis AF2122/97","233413.5","NC_002945","fig|233413.5.peg.110",,"VBIMycBov88188_0110","PATRIC.233413.5.NC_002945.CDS.104691.104810.fwd","PATRIC","CDS",104691,104810,120,"+","FIG01804231","PLF_1763_00000014","PGF_03982285",,39,,"hypothetical protein",
"Mycobacterium bovis AF2122/97","233413.5","NC_002945","fig|233413.5.peg.8","Mb0007","VBIMycBov88188_0008","PATRIC.233413.5.NC_002945.CDS.10484.10828.fwd","PATRIC","CDS",10484,10828,345,"+","FIG00735262","PLF_1763_00000963","PGF_00003705","NP_853677.1",114,,"FIG187021: hypothetical protein",
"Mycobacterium bovis AF2122/97","233413.5","NC_002945","fig|233413.5.peg.1049","Mb0964","VBIMycBov88188_1049","PATRIC.233413.5.NC_002945.CDS.1048879.1050813.fwd","PATRIC","CDS",1048879,1050813,1935,"+","FIG01954607","PLF_1763_00001832","PGF_00006512","NP_854621.1",644,,"Fumarylacetoacetate hydrolase family protein / MBL-fold metallo-hydrolase superfamily",
"Mycobacterium bovis AF2122/97","233413.5","NC_002945","fig|233413.5.peg.1050","Mb0965c","VBIMycBov88188_1050","PATRIC.233413.5.NC_002945.CDS.1051060.1051926.rev","PATRIC","CDS",1051060,1051926,867,"-","FIG01353725","PLF_1763_00001257","PGF_03023540","NP_854622.1",288,,"Hydride transferase 1 (Fragment)",
"Mycobacterium bovis AF2122/97","233413.5","NC_002945","fig|233413.5.peg.1051","Mb0966c","VBIMycBov88188_1051","PATRIC.233413.5.NC_002945.CDS.1052011.1052775.rev","PATRIC","CDS",1052011,1052775,765,"-","FIG00823383","PLF_1763_00091612","PGF_08225224","NP_854623.1",254,,"hypothetical protein",
"Mycobacterium bovis AF2122/97","233413.5","NC_002945","fig|233413.5.peg.1052",,"VBIMycBov88188_1052","PATRIC.233413.5.NC_002945.CDS.1053084.1053197.rev","PATRIC","CDS",1053084,1053197,114,"-","FIG01329647","PLF_1763_00003290","PGF_02411971",,37,,"hypothetical protein",
"Mycobacterium bovis AF2122/97","233413.5","NC_002945","fig|233413.5.peg.1053","Mb0968c","VBIMycBov88188_1053","PATRIC.233413.5.NC_002945.CDS.1053163.1054203.rev","PATRIC","CDS",1053163,1054203,1041,"-","FIG00975774","PLF_1763_00002379","PGF_03395814","NP_854625.1",346,,"Cyclohexanone monooxygenase (EC 1.14.13.22)",
"Mycobacterium bovis AF2122/97","233413.5","NC_002945","fig|233413.5.peg.111","Mb0099","VBIMycBov88188_0111","PATRIC.233413.5.NC_002945.CDS.105360.106751.fwd","PATRIC","CDS",105360,106751,1392,"+","FIG00013075","PLF_1763_00037180","PGF_03142458","NP_853767.1",463,"PPE1","PPE family protein, PPW subgroup => PPE1",
"Mycobacterium bovis AF2122/97","233413.5","NC_002945","fig|233413.5.peg.1054","Mb0969","VBIMycBov88188_1054","PATRIC.233413.5.NC_002945.CDS.1054226.1054708.fwd","PATRIC","CDS",1054226,1054708,483,"+","FIG00035634","PLF_1763_00000913","PGF_05740384","NP_854626.1",160,,"Formamidopyrimidine-DNA glycosylase (EC 3.2.2.23)","GO:0008534|oxidized purine base lesion DNA N-glycosylase activity"
"Mycobacterium bovis AF2122/97","233413.5","NC_002945","fig|233413.5.peg.1055","Mb0970","VBIMycBov88188_1055","PATRIC.233413.5.NC_002945.CDS.1054726.1055475.fwd","PATRIC","CDS",1054726,1055475,750,"+","FIG01955289","PLF_1763_00001280","PGF_10357867","NP_854627.1",249,,"Short chain dehydrogenase family protein Rv0945",
"Mycobacterium bovis AF2122/97","233413.5","NC_002945","fig|233413.5.peg.1056","Mb0971c","VBIMycBov88188_1056","PATRIC.233413.5.NC_002945.CDS.1055491.1057152.rev","PATRIC","CDS",1055491,1057152,1662,"-","FIG00000245","PLF_1763_00000505","PGF_10505717","NP_854628.1",553,"pgi","Glucose-6-phosphate isomerase (EC 5.3.1.9)","GO:0004347|glucose-6-phosphate isomerase activity"
"Mycobacterium bovis AF2122/97","233413.5","NC_002945","fig|233413.5.peg.1057",,"VBIMycBov88188_1057","PATRIC.233413.5.NC_002945.CDS.1057253.1057441.rev","PATRIC","CDS",1057253,1057441,189,"-","FIG00820065","PLF_1763_00003665","PGF_00927695",,62,,"hypothetical protein",
"Mycobacterium bovis AF2122/97","233413.5","NC_002945","fig|233413.5.peg.1058","Mb0972c","VBIMycBov88188_1058","PATRIC.233413.5.NC_002945.CDS.1057767.1057997.rev","PATRIC","CDS",1057767,1057997,231,"-","FIG01444495","PLF_1763_00003821","PGF_02412870","NP_854629.1",76,,"hypothetical protein",
"Mycobacterium bovis AF2122/97","233413.5","NC_002945","fig|233413.5.peg.1059","Mb0973c","VBIMycBov88188_1059","PATRIC.233413.5.NC_002945.CDS.1058113.1058385.rev","PATRIC","CDS",1058113,1058385,273,"-","FIG00001498","PLF_1763_00001130","PGF_06895470","NP_854630.1",90,,"Chorismate mutase I (EC 5.4.99.5)","GO:0004106|chorismate mutase activity"
"Mycobacterium bovis AF2122/97","233413.5","NC_002945","fig|233413.5.peg.1060","Mb0974","VBIMycBov88188_1060","PATRIC.233413.5.NC_002945.CDS.1058727.1061042.fwd","PATRIC","CDS",1058727,1061042,2316,"+","FIG00000372","PLF_1763_00000306","PGF_10471233","NP_854631.1",771,"uvrD1","ATP-dependent DNA helicase UvrD/PcrA (EC 3.6.4.12)",
"Mycobacterium bovis AF2122/97","233413.5","NC_002945","fig|233413.5.peg.1061","Mb0975c","VBIMycBov88188_1061","PATRIC.233413.5.NC_002945.CDS.1061123.1062154.rev","PATRIC","CDS",1061123,1062154,1032,"-","FIG00821878","PLF_1763_00341244","PGF_00032080","NP_854632.1",343,,"Phage peptidoglycan binding endopeptidase",
"Mycobacterium bovis AF2122/97","233413.5","NC_002945","fig|233413.5.peg.1062",,"VBIMycBov88188_1062","PATRIC.233413.5.NC_002945.CDS.1062220.1062336.fwd","PATRIC","CDS",1062220,1062336,117,"+","FIG00827313","PLF_1763_00004158","PGF_02414574",,38,,"hypothetical protein",
"Mycobacterium bovis AF2122/97","233413.5","NC_002945","fig|233413.5.peg.1063","Mb0976","VBIMycBov88188_1063","PATRIC.233413.5.NC_002945.CDS.1062431.1063594.fwd","PATRIC","CDS",1062431,1063594,1164,"+","FIG00000337","PLF_1763_00000312","PGF_00054528","NP_854633.1",387,"sucC","Succinyl-CoA ligase [ADP-forming] beta chain (EC 6.2.1.5)","GO:0004775|succinate-CoA ligase (ADP-forming) activity"
"Mycobacterium bovis AF2122/97","233413.5","NC_002945","fig|233413.5.peg.1064","Mb0977","VBIMycBov88188_1064","PATRIC.233413.5.NC_002945.CDS.1063607.1064518.fwd","PATRIC","CDS",1063607,1064518,912,"+","FIG00038611","PLF_1763_00001352","PGF_00853393","NP_854634.1",303,"sucD","Succinyl-CoA ligase [ADP-forming] alpha chain (EC 6.2.1.5)","GO:0004775|succinate-CoA ligase (ADP-forming) activity"
"Mycobacterium bovis AF2122/97","233413.5","NC_002945","fig|233413.5.peg.1065","Mb0978c","VBIMycBov88188_1065","PATRIC.233413.5.NC_002945.CDS.1064553.1065401.rev","PATRIC","CDS",1064553,1065401,849,"-","FIG01353725","PLF_1763_00001512","PGF_05086807","NP_854635.1",282,,"N5,N10-methylenetetrahydromethanopterin reductase-related protein, MSMEG5498 family",
"Mycobacterium bovis AF2122/97","233413.5","NC_002945","fig|233413.5.peg.1066","Mb0979","VBIMycBov88188_1066","PATRIC.233413.5.NC_002945.CDS.1065566.1066477.fwd","PATRIC","CDS",1065566,1066477,912,"+","FIG00820205","PLF_1763_00008068","PGF_00952582","NP_854636.1",303,,"antigen 34 kDa",
"Mycobacterium bovis AF2122/97","233413.5","NC_002945","fig|233413.5.peg.1067","Mb0980","VBIMycBov88188_1067","PATRIC.233413.5.NC_002945.CDS.1066526.1067884.fwd","PATRIC","CDS",1066526,1067884,1359,"+","FIG00021574","PLF_1763_00000571","PGF_02421137","NP_854637.1",452,,"FIG021574: Possible membrane protein related to de Novo purine biosynthesis",
"Mycobacterium bovis AF2122/97","233413.5","NC_002945","fig|233413.5.peg.112","Mb0100","VBIMycBov88188_0112","PATRIC.233413.5.NC_002945.CDS.106770.107639.fwd","PATRIC","CDS",106770,107639,870,"+","FIG01321859","PLF_1763_00002060","PGF_00409913","NP_853768.1",289,,"putative oxidoreductase Rv0097",
"Mycobacterium bovis AF2122/97","233413.5","NC_002945","fig|233413.5.peg.1068","Mb0981","VBIMycBov88188_1068","PATRIC.233413.5.NC_002945.CDS.1068135.1068647.fwd","PATRIC","CDS",1068135,1068647,513,"+","FIG00000253","PLF_1763_00000870","PGF_00033968","NP_854638.1",170,"purN","Phosphoribosylglycinamide formyltransferase (EC 2.1.2.2)","GO:0004644|phosphoribosylglycinamide formyltransferase activity"
